"PointID","x","y","z","Density_0","Density_1","Momentum_x","Momentum_y","Momentum_z","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient"
163, 8.923979086157234e-02, 1.386958830736878e-01, 0.000000000000000e+00, 5.326621655612944e-04, 5.330895344375619e-04, 3.480887571916557e+00, 1.594708100428207e+00, 1.552343519233182e-02, 3.065500519968439e+04, 1.914492727900498e+03, 4.997994988531250e-01, 5.002005011468749e-01, 2.155284155800173e+03, 4.541831109547490e+03, 8.318574339739280e+03, 2.032122320182634e+00, 2.702326246043142e-01
164, 8.305899031385024e-02, 1.357114010527682e-01, 0.000000000000000e+00, 5.969987099126472e-04, 5.972102301630003e-04, 3.718505360980521e+00, 1.906844959396628e+00, 2.343915728912733e-02, 3.420479165253641e+04, 2.148570039401280e+03, 4.999114391781643e-01, 5.000885608218356e-01, 2.551773725813349e+03, 4.799287077553470e+03, 8.324421070053359e+03, 1.925652133778248e+00, 3.204050315698098e-01
165, 7.701883598511533e-02, 1.324516519782258e-01, 0.000000000000000e+00, 6.653153002106881e-04, 6.652114471232551e-04, 3.932693557396709e+00, 2.242495927777921e+00, 3.244828520418023e-02, 3.794606538994272e+04, 2.399462791946681e+03, 5.000390270573820e-01, 4.999609729426179e-01, 2.996297230943729e+03, 5.058399299740745e+03, 8.333365453663282e+03, 1.823907394889218e+00, 3.766557274062444e-01
166, 7.113157928145880e-02, 1.289232476860329e-01, 0.000000000000000e+00, 7.369389428346382e-04, 7.372716813512334e-04, 4.116558443244979e+00, 2.596567225091193e+00, 4.245064299235099e-02, 4.186607246807679e+04, 2.665525165856390e+03, 4.998871468869047e-01, 5.001128531130954e-01, 3.487502430822697e+03, 5.313281612538909e+03, 8.343582592328312e+03, 1.726685910667025e+00, 4.388135975138392e-01
167, 6.540916148264168e-02, 1.251333449327033e-01, 0.000000000000000e+00, 8.109540082993538e-04, 8.141008810946854e-04, 4.263276255483142e+00, 2.962387607766658e+00, 5.327199148263777e-02, 4.596312116409577e+04, 2.943965177995974e+03, 4.990317641527466e-01, 5.009682358472535e-01, 4.023019993224988e+03, 5.557051725753394e+03, 8.351880053120840e+03, 1.633195742152114e+00, 5.065788229070948e-01
168, 5.986318952127878e-02, 1.210896308790527e-01, 0.000000000000000e+00, 8.866414221394956e-04, 8.956151065037232e-04, 4.366698255108312e+00, 3.332357918588432e+00, 6.477546489988260e-02, 5.021555478483788e+04, 3.233302056514401e+03, 4.974824936197431e-01, 5.025175063802568e-01, 4.600335856095866e+03, 5.788040601556725e+03, 8.358778392220847e+03, 1.542892030363167e+00, 5.796332702627497e-01
169, 5.450491244018765e-02, 1.168003074981255e-01, 0.000000000000000e+00, 9.632499098557109e-04, 9.816621573995306e-04, 4.421691833042030e+00, 3.697810392707141e+00, 7.680745476446860e-02, 5.459963518244971e+04, 3.531962091315733e+03, 4.952665604132417e-01, 5.047334395867583e-01, 5.215978195964722e+03, 6.004930822850989e+03, 8.364762050750141e+03, 1.455293003517671e+00, 6.575376096380923e-01
170, 4.934519857565527e-02, 1.122740749389140e-01, 0.000000000000000e+00, 1.039999250059003e-03, 1.071981077390240e-03, 4.424331678526771e+00, 4.049173763356813e+00, 8.917178868294284e-02, 5.908847260718823e+04, 3.838190223145063e+03, 4.924284741397513e-01, 5.075715258602487e-01, 5.865428734268607e+03, 6.206742847324692e+03, 8.370244724245276e+03, 1.369990747989319e+00, 7.397200910351686e-01
171, 4.439451351290143e-02, 1.075201138796140e-01, 0.000000000000000e+00, 1.116077875096486e-03, 1.166150571553944e-03, 4.372100743783282e+00, 4.376220460209068e+00, 1.014439109822525e-01, 6.365052209509452e+04, 4.149939507121895e+03, 4.890298675991555e-01, 5.109701324008445e-01, 6.542950734715525e+03, 6.392790040033396e+03, 8.375562092410837e+03, 1.286670112305057e+00, 8.254547789195680e-01
172, 3.966289885845342e-02, 1.025480669062109e-01, 0.000000000000000e+00, 1.190698578319145e-03, 1.263580552559496e-03, 4.264206566477577e+00, 4.668541919230852e+00, 1.122820160726123e-01, 6.825069954506219e+04, 4.464997357693042e+03, 4.851520608794284e-01, 5.148479391205716e-01, 7.241873696844158e+03, 6.562808560456731e+03, 8.381015274229867e+03, 1.205085621544755e+00, 9.138975777863376e-01
