"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
1308, 1.915787023009736e+00, -1.574442015402177e+01, 9.475561274677479e+01, -7.202567067703669e-02, -6.097395812785999e-03, 2.557027675416056e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.634877567620817e-06
1309, 1.920967519680199e+00, -1.574439048827887e+01, 9.483498044248665e+01, -7.208637638013916e-02, -6.091451808835392e-03, 2.559120244581129e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.298827600228658e-06
1310, 1.926148016334976e+00, -1.574436085005104e+01, 9.490785081848544e+01, -7.214250290139237e-02, -6.086602487108606e-03, 2.561079959518673e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.775852372877667e-06
1311, 1.931328512928943e+00, -1.574433123940419e+01, 9.490290625317758e+01, -7.213981783097763e-02, -6.078710241330147e-03, 2.561024259570610e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.132515315751611e-06
1312, 1.936509009432037e+00, -1.574430165638897e+01, 9.495729668247762e+01, -7.218163696783184e-02, -6.071091720083978e-03, 2.562466640430329e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.085173386464294e-06
1313, 1.941689505826238e+00, -1.574427210104049e+01, 9.506145759078747e+01, -7.226093376192377e-02, -6.065337120831928e-03, 2.565167745258876e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.656613946679656e-06
1314, 1.946870002109594e+00, -1.574424257337786e+01, 9.518878697442383e+01, -7.235755208860360e-02, -6.059829340200274e-03, 2.568458484355227e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.682471886576558e-06
1315, 1.952050498299566e+00, -1.574421307340395e+01, 9.530312675696213e+01, -7.244469640398982e-02, -6.054980004321050e-03, 2.571446368609647e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.295515856774535e-06
1316, 1.957230994435494e+00, -1.574418360110500e+01, 9.533006243680214e+01, -7.246583741980629e-02, -6.047720553900698e-03, 2.572185117497966e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.937748710770748e-06
1317, 1.962411490579947e+00, -1.574415415645043e+01, 9.549968784714484e+01, -7.259466317602027e-02, -6.044197865832079e-03, 2.576590976560676e-05, 0.000000000000000e+00, 0.000000000000000e+00, -2.958822627796216e-06
1318, 1.967592000991541e+00, -1.574412473931212e+01, 9.559027183881739e+01, -7.266391403263293e-02, -6.038809403474082e-03, 2.578976107418925e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.128189871507178e-06
1319, 1.972772499610558e+00, -1.574409534977378e+01, 9.561803656207334e+01, -7.268588397498570e-02, -6.032488328929516e-03, 2.579758573503751e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.925019083555439e-06
1320, 1.977952998385236e+00, -1.574406598768599e+01, 9.567990699465041e+01, -7.273362074181315e-02, -6.026939583531565e-03, 2.581414867298821e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.837650344109293e-06
1321, 1.983133497314872e+00, -1.574403665294989e+01, 9.577717813411654e+01, -7.280787065030953e-02, -6.021197053482812e-03, 2.583963509683092e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.233427061656765e-06
1322, 1.988313996398665e+00, -1.574400734544921e+01, 9.578042570668167e+01, -7.281130749113691e-02, -6.013609041853181e-03, 2.584109467967812e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.779003921781238e-06
1323, 1.993494495635716e+00, -1.574397806505033e+01, 9.583722916390653e+01, -7.285514920126430e-02, -6.007238969794957e-03, 2.585619469404735e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.566088489728416e-06
1324, 1.998674995025035e+00, -1.574394881160228e+01, 9.590080811644630e+01, -7.290379234705296e-02, -6.000467490250208e-03, 2.587276073251562e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.449176911958313e-06
1325, 2.003855494565530e+00, -1.574391958493683e+01, 9.605226547754997e+01, -7.301864941319161e-02, -5.996413587818690e-03, 2.591175432602376e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.995818358601352e-06
1326, 2.009035994256017e+00, -1.574389038486868e+01, 9.618527103615781e+01, -7.311998604041793e-02, -5.993144373931471e-03, 2.594652054032340e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.242344208275843e-06
1327, 2.014216494095216e+00, -1.574386121119558e+01, 9.615890439823740e+01, -7.310104357067039e-02, -5.986675513081546e-03, 2.594023330427763e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.933410514507153e-06
1328, 2.019396983645034e+00, -1.574383206375732e+01, 9.645063676692907e+01, -7.332181604908666e-02, -5.986157610910876e-03, 2.601568522445253e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.128211164085375e-06
1329, 2.024577489498825e+00, -1.574380294216895e+01, 9.641852945289635e+01, -7.329848490537565e-02, -5.979785125884240e-03, 2.600794610493511e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.099541029728218e-06
1330, 2.029757996634628e+00, -1.574377384626364e+01, 9.661637649175834e+01, -7.344860448636875e-02, -5.978592921020882e-03, 2.605940418484757e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.551712700779551e-06
1331, 2.034938504926060e+00, -1.574374477577497e+01, 9.660943203107260e+01, -7.344443737822956e-02, -5.972728658455768e-03, 2.605838155242795e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.367809110734581e-06
1332, 2.040118995470793e+00, -1.574371573052641e+01, 9.672272546521475e+01, -7.353098459965207e-02, -5.970139423444537e-03, 2.608834422053272e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.108521865354512e-06
1333, 2.045299496170421e+00, -1.574368671006418e+01, 9.670897560366714e+01, -7.352188304600962e-02, -5.965110403351714e-03, 2.608575606512706e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.481005445904320e-06
