"PointID","x","y","Density_N2","Density_N","Momentum_x","Momentum_y","Energy","Energy_ve","Pressure","Temperature","Temperature_ve","Mach"
24, 0.000000000000000e+00, 8.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
25, 2.000000000000000e-01, 8.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, -9.094947017729281e-20, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 2.474860240921397e-22
26, 3.999999999999999e-01, 8.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
27, 6.000000000000000e-01, 8.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
28, 8.000000000000000e-01, 8.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
29, 1.000000000000000e+00, 8.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
30, 0.000000000000000e+00, 1.000000000000000e+00, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
31, 2.000000000000000e-01, 1.000000000000000e+00, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
32, 3.999999999999999e-01, 1.000000000000000e+00, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
33, 6.000000000000000e-01, 1.000000000000000e+00, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
34, 8.000000000000000e-01, 1.000000000000000e+00, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
35, 1.000000000000000e+00, 1.000000000000000e+00, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 1.818989403545856e-19, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 4.949720481842794e-22
