VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_N2]"  ,   "rms[Rho_N]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
        123,           0,           0,               -32,               -32,       4.005716591,       4.005716591,               -32,               -32
        124,           0,           0,               -32,               -32,        4.00571659,        4.00571659,               -32,               -32
        125,           0,           0,               -32,               -32,        4.00571659,        4.00571659,               -32,               -32
        126,           0,           0,               -32,               -32,        4.00571659,        4.00571659,               -32,               -32
        127,           0,           0,               -32,               -32,       4.005716589,       4.005716589,               -32,               -32
        128,           0,           0,               -32,               -32,       4.005716589,       4.005716589,               -32,               -32
        129,           0,           0,               -32,               -32,       4.005716589,       4.005716589,               -32,               -32
        130,           0,           0,               -32,               -32,       4.005716588,       4.005716588,               -32,               -32
        131,           0,           0,               -32,               -32,       4.005716588,       4.005716588,               -32,               -32
        132,           0,           0,               -32,               -32,       4.005716587,       4.005716587,               -32,               -32
        133,           0,           0,               -32,               -32,       4.005716587,       4.005716587,               -32,               -32
        134,           0,           0,               -32,               -32,       4.005716587,       4.005716587,               -32,               -32
        135,           0,           0,               -32,               -32,       4.005716586,       4.005716586,               -32,               -32
        136,           0,           0,               -32,               -32,       4.005716586,       4.005716586,               -32,               -32
        137,           0,           0,               -32,               -32,       4.005716586,       4.005716586,               -32,               -32
        138,           0,           0,               -32,               -32,       4.005716585,       4.005716585,               -32,               -32
        139,           0,           0,               -32,               -32,       4.005716585,       4.005716585,               -32,               -32
        140,           0,           0,               -32,               -32,       4.005716584,       4.005716584,               -32,               -32
        141,           0,           0,               -32,               -32,       4.005716584,       4.005716584,               -32,               -32
        142,           0,           0,               -32,               -32,       4.005716584,       4.005716584,               -32,               -32
        143,           0,           0,               -32,               -32,       4.005716583,       4.005716583,               -32,               -32
        144,           0,           0,               -32,               -32,       4.005716583,       4.005716583,               -32,               -32
        145,           0,           0,               -32,               -32,       4.005716582,       4.005716582,               -32,               -32
        146,           0,           0,               -32,               -32,       4.005716582,       4.005716582,               -32,               -32
        147,           0,           0,               -32,               -32,       4.005716581,       4.005716581,               -32,               -32
        148,           0,           0,               -32,               -32,       4.005716581,       4.005716581,               -32,               -32
        149,           0,           0,               -32,               -32,       4.005716581,       4.005716581,               -32,               -32
        150,           0,           0,               -32,               -32,        4.00571658,        4.00571658,               -32,               -32
        151,           0,           0,               -32,               -32,        4.00571658,        4.00571658,               -32,               -32
        152,           0,           0,               -32,               -32,       4.005716579,       4.005716579,               -32,               -32
        153,           0,           0,               -32,               -32,       4.005716579,       4.005716579,               -32,               -32
        154,           0,           0,               -32,               -32,       4.005716578,       4.005716578,               -32,               -32
        155,           0,           0,               -32,               -32,       4.005716578,       4.005716578,               -32,               -32
        156,           0,           0,               -32,               -32,       4.005716578,       4.005716578,               -32,               -32
        157,           0,           0,               -32,               -32,       4.005716577,       4.005716577,               -32,               -32
        158,           0,           0,               -32,               -32,       4.005716577,       4.005716577,               -32,               -32
        159,           0,           0,               -32,               -32,       4.005716576,       4.005716576,               -32,               -32
        160,           0,           0,               -32,               -32,       4.005716576,       4.005716576,               -32,               -32
        161,           0,           0,               -32,               -32,       4.005716575,       4.005716575,               -32,               -32
        162,           0,           0,               -32,               -32,       4.005716575,       4.005716575,               -32,               -32
        163,           0,           0,               -32,               -32,       4.005716574,       4.005716574,               -32,               -32
        164,           0,           0,               -32,               -32,       4.005716574,       4.005716574,               -32,               -32
        165,           0,           0,               -32,               -32,       4.005716573,       4.005716573,               -32,               -32
        166,           0,           0,               -32,               -32,       4.005716573,       4.005716573,               -32,               -32
        167,           0,           0,               -32,               -32,       4.005716572,       4.005716572,               -32,               -32
        168,           0,           0,               -32,               -32,       4.005716572,       4.005716572,               -32,               -32
        169,           0,           0,               -32,               -32,       4.005716572,       4.005716572,               -32,               -32
        170,           0,           0,               -32,               -32,       4.005716571,       4.005716571,               -32,               -32
