"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Conservative_6"	"Residual_1"	"Residual_2"	"Residual_3"	"Residual_4"	"Residual_5"	"Residual_6"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"	"<greek>m</greek><sub>t</sub>"
17	1.345343622331700e+00	5.352202629500000e-08	1.001334379788786e+00	9.964188370852769e-01	4.593976471536583e-05	2.504062855911832e+01	1.057582877740622e-03	8.940090726167258e+02	-2.248208091693016e-06	-7.590280484215395e-05	5.786422392707916e-07	-9.242653348806584e-05	-4.634607155051865e-07	-2.817602366907992e-01	9.817521558628965e+00	1.000641015127256e+00	3.872722464573997e-02	2.685885015245449e-01	1.619809420275273e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.185159900914669e-06	
18	1.219337910763940e+00	5.352202629500000e-08	1.001854540807573e+00	9.820935167572300e-01	1.164164293225012e-04	2.505214660792003e+01	1.061322891172413e-03	8.893355955030740e+02	-5.010928884274790e-06	-1.968385526650573e-04	-7.097371333088156e-07	-2.131028847962568e-04	-2.780957029182725e-07	-1.787812677352376e-01	9.827888154514067e+00	1.001177540445324e+00	5.946041641594491e-02	2.645187069911457e-01	1.620486708833876e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.196073818227715e-06	
19	1.136961483861060e+00	5.352202629500000e-08	1.002664617026028e+00	9.697844205171471e-01	2.899309537991938e-04	2.507256977823911e+01	1.094672354172583e-03	8.894002772770608e+02	-5.010928884274790e-06	-1.968385526650573e-04	-7.097371333088156e-07	-2.131028847962568e-04	-1.383941397602100e-07	-1.064640490409083e-01	9.840991825303620e+00	1.001702472227974e+00	8.566775799505066e-02	2.609239378670254e-01	1.621149194067302e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.234162836239929e-06	
20	1.083107768621840e+00	5.352202629500000e-08	1.002511444301024e+00	9.058656810578061e-01	3.519871467634156e-04	2.504898223861765e+01	1.113890148614367e-03	8.865294914585307e+02	-9.854870614223188e-06	-4.416275995353658e-04	-2.012519162735392e-06	-4.198787261380232e-04	-8.301519958742215e-08	-6.683798343097110e-02	9.855438316152304e+00	1.003326236587559e+00	1.145607396924184e-01	2.435662894267062e-01	1.623197399143931e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.259610020554433e-06	
21	1.047900819812490e+00	5.352202629500000e-08	1.002618874509861e+00	8.320416856668128e-01	3.208424834147731e-04	2.503009272999252e+01	1.191790787954248e-03	9.338377021476022e+02	-9.854870614223188e-06	-4.416275995353658e-04	-2.012519162735392e-06	-4.198787261380232e-04	-6.119214602044932e-08	-4.216725151266756e-02	9.873461534060969e+00	1.005053375500116e+00	1.506071755097480e-01	2.235004708214887e-01	1.625374258534686e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.279770130775111e-06	
22	1.024884223112370e+00	5.352202629500000e-08	1.001249072447864e+00	6.871456227173212e-01	4.246775616081983e-04	2.495615762611945e+01	1.780696715983662e-03	1.390372704404464e+03	-1.057705540197240e-05	-5.501455152248091e-04	8.616552390468897e-07	-4.693961485102705e-04	-8.379697249380833e-08	-4.094864882275596e-02	9.887432659580728e+00	1.007852496451980e+00	1.785494265492673e-01	1.845746343202206e-01	1.628898423987164e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.283139844212990e-06	
23	1.009837087771990e+00	5.352202629500000e-08	1.001862344419804e+00	4.627952564128765e-01	5.549343053557415e-04	2.492449868344159e+01	6.933842381841733e-03	4.186621858080112e+03	-5.315757465096382e-06	0.000000000000000e+00	0.000000000000000e+00	-2.420254091504148e-04	-1.872928756352036e-07	-8.809765607905477e-02	9.924260440046677e+00	1.010987214114465e+00	2.522049874811643e-01	1.240429510962445e-01	1.632839546377776e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.659824818556414e-06	
24	1.000000000000000e+00	5.352202629500000e-08	9.996299345605205e-01	0.000000000000000e+00	0.000000000000000e+00	2.482940488907990e+01	1.000000000000000e-10	1.347391653360793e+00	-5.315757465096382e-06	0.000000000000000e+00	0.000000000000000e+00	-2.420254091504148e-04	-0.000000000000000e+00	-0.000000000000000e+00	9.931761955591973e+00	1.014010875568021e+00	2.672080185717576e-01	0.000000000000000e+00	1.636635488567320e-07	-1.006117932023098e-14	-4.518040722573798e-05	-2.908060655815274e-05	2.856237267524754e+02	1.261532249770396e-14	
25	9.909241437988340e-01	-1.280289614488857e-03	9.966436050980846e-01	0.000000000000000e+00	0.000000000000000e+00	2.475723491688283e+01	1.000000000000000e-10	1.282173767262096e+06	-5.315757465096382e-06	0.000000000000000e+00	0.000000000000000e+00	-2.420254091504148e-04	-0.000000000000000e+00	-0.000000000000000e+00	9.902893966713266e+00	1.014093055002635e+00	2.094720408143438e-01	0.000000000000000e+00	1.636738581693200e-07	4.806114095918109e-03	6.729603910674185e-04	-2.090358676810118e-04	3.040349949495891e+00	7.773078505542659e-17	
26	9.789211302792580e-01	-2.951446198418808e-03	9.951259872792768e-01	0.000000000000000e+00	0.000000000000000e+00	2.471867292553753e+01	1.000000000000000e-10	1.397756435185651e+06	-1.199804391949222e-06	0.000000000000000e+00	0.000000000000000e+00	-1.046379166318445e-04	-0.000000000000000e+00	-0.000000000000000e+00	9.887469170175205e+00	1.014057633312393e+00	1.786224477382206e-01	0.000000000000000e+00	1.636694146095294e-07	4.292413812800846e-03	5.918589546616861e-04	-1.685418026772825e-04	2.751899778691353e+00	7.119442266425722e-17	
