"PointID","x","y","Density_0","Density_1","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
20, -3.001524437597657e-04, 3.799523719267674e-02, 6.352858831645536e-02, 5.822884226596994e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.583306896469957e+04, 1.137319117358548e+00, 9.990842623539306e-01, 9.157376460693549e-04, 5.554242278466188e+03, 2.940302410239489e+02, 3.103799409233034e+02, 0.000000000000000e+00, 1.323315770304918e-01, 1.792472636047884e-05, inf, inf, -3.928892140794741e+10, 1.635148082721098e-01
21, -3.666796837964351e-04, 3.799418154101496e-02, 6.436225167618931e-02, 5.900197052962271e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.604099956083375e+04, 1.139787150686743e+00, 9.990841225963534e-01, 9.158774036467042e-04, 5.627076622737359e+03, 2.940274403064165e+02, 3.100718285888433e+02, 0.000000000000000e+00, 1.343595186007838e-01, 1.792462027660221e-05, inf, inf, -3.641557315843643e+10, 1.586673512254213e-01
22, -4.477236646185467e-04, 3.799289553827404e-02, 6.509628985413959e-02, 5.968228866688298e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.622408331816829e+04, 1.141394801066208e+00, 9.990840089295870e-01, 9.159910704129089e-04, 5.691213473614325e+03, 2.940253691966316e+02, 3.097908566473052e+02, 0.000000000000000e+00, 1.361452940805048e-01, 1.792454184646937e-05, inf, inf, -3.350056840354798e+10, 1.544694377952286e-01
23, -5.466629769815887e-04, 3.799132557310708e-02, 6.573995314430900e-02, 6.027737030024484e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.638459165434417e+04, 1.142590420791092e+00, 9.990839337517691e-01, 9.160662482308752e-04, 5.747459957018552e+03, 2.940239200086250e+02, 3.095425350824371e+02, 0.000000000000000e+00, 1.377113764420552e-01, 1.792448695984772e-05, inf, inf, -3.058237872198055e+10, 1.510100347013713e-01
24, -6.671849754589984e-04, 3.798941313471486e-02, 6.631813848864143e-02, 6.080890505420433e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.652868952611306e+04, 1.144112207808292e+00, 9.990839127849747e-01, 9.160872150253421e-04, 5.797991765486681e+03, 2.940230295332077e+02, 3.093331184703857e+02, 0.000000000000000e+00, 1.391183439385020e-01, 1.792445318914611e-05, inf, inf, -2.773327015207783e+10, 1.483779916432570e-01
25, -8.140847864993943e-04, 3.798708213421711e-02, 6.682982866555051e-02, 6.127430305288521e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.665607271054017e+04, 1.146304736932676e+00, 9.990839693123068e-01, 9.160306876931818e-04, 5.842721700622639e+03, 2.940227824697918e+02, 3.091704994905740e+02, 0.000000000000000e+00, 1.403637686870375e-01, 1.792444370883285e-05, inf, inf, -2.435125299364612e+10, 1.469742714508681e-01
26, -9.926429078953580e-04, 3.798424878087986e-02, 6.778862583239481e-02, 6.214062785978929e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.689461439731099e+04, 1.158318250565508e+00, 9.990841573190452e-01, 9.158426809546775e-04, 5.926550650456659e+03, 2.940231078192245e+02, 3.090630175778642e+02, 0.000000000000000e+00, 1.426978353126585e-01, 1.792445572760166e-05, inf, inf, -2.649827894199191e+10, 1.467703727983505e-01
27, -1.206018428538572e-03, 3.797913536838806e-02, 6.991490894005535e-02, 6.406767500094260e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.742404286550805e+04, 1.197921535796694e+00, 9.990844725358964e-01, 9.155274641035284e-04, 6.112541290087164e+03, 2.940279235261616e+02, 3.091399712022394e+02, 0.000000000000000e+00, 1.478764107988003e-01, 1.792463800174714e-05, inf, inf, -2.724228660374424e+10, 1.465739431593820e-01
28, -1.469012871639451e-03, 3.796813146407832e-02, 7.223104917274500e-02, 6.616879519534415e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.800051228091050e+04, 1.233282724333729e+00, 9.990847670622031e-01, 9.152329377969453e-04, 6.315022537192160e+03, 2.940274009023580e+02, 3.090414988575503e+02, 0.000000000000000e+00, 1.535141376475517e-01, 1.792461763738103e-05, inf, inf, -2.888161079104264e+10, 1.447428529731230e-01
29, -1.794020680331284e-03, 3.795271692435442e-02, 7.369727079517528e-02, 6.748524677581832e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.836492063921696e+04, 1.249996259402919e+00, 9.990851288556091e-01, 9.148711443909402e-04, 6.443177972247071e+03, 2.940260840946472e+02, 3.088549784617499e+02, 0.000000000000000e+00, 1.570823956830617e-01, 1.792456700170758e-05, inf, inf, -2.693296811447707e+10, 1.419709953256836e-01
