"PointID","x","y","Density_0","Density_1","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
24, 5.504257545742582e-01, 8.348841169296243e-01, 9.355828501034172e-05, 4.637695323127646e-06, 0.000000000000000e+00, 0.000000000000000e+00, 2.243773777596385e+02, 3.485873147201764e+00, 9.527710268039665e-01, 4.722897319603338e-02, 2.700011927628716e+01, 8.846309059120863e+02, 1.018359986506402e+03, 0.000000000000000e+00, -2.919952490184534e-03, 3.715396487782585e-05, 9.325906725178582e-04, -6.148421250572501e-04, 7.664266390726053e+03, 7.790738147444202e+00
25, 5.170126055577461e-01, 8.559777834116903e-01, 1.214078145604398e-04, 5.928293772803070e-06, 0.000000000000000e+00, 0.000000000000000e+00, 2.901678686802281e+02, 4.605240689228998e+00, 9.534437336714537e-01, 4.655626632854624e-02, 3.582368185283501e+01, 9.057072597077415e+02, 1.023660218575969e+03, 0.000000000000000e+00, -1.799756093203792e-03, 3.775415487559159e-05, 9.838375765112138e-04, -5.942402229767174e-04, 8.125247314165503e+03, 8.856170607840550e+00
26, 4.827922027307449e-01, 8.757349421956369e-01, 1.565515831394741e-04, 7.507888048509981e-06, 0.000000000000000e+00, 0.000000000000000e+00, 3.721648962502363e+02, 6.042506155190460e+00, 9.542367899021981e-01, 4.576321009780181e-02, 4.719517132007165e+01, 9.268184806112824e+02, 1.028858664864674e+03, 0.000000000000000e+00, -3.560873461423624e-04, 3.835067897618867e-05, 1.032139714496119e-03, -5.690180695977570e-04, 8.629230777462804e+03, 1.002109054370402e+01
27, 4.478179771900631e-01, 8.941247448233385e-01, 2.002488277055038e-04, 9.403481656036464e-06, 0.000000000000000e+00, 0.000000000000000e+00, 4.726453725891561e+02, 7.861099710499463e+00, 9.551472545917900e-01, 4.485274540821007e-02, 6.164802407414475e+01, 9.481918261227578e+02, 1.033967089932412e+03, 0.000000000000000e+00, 1.478776229737678e-03, 3.895001332668705e-05, 1.077502494151877e-03, -5.396618202795382e-04, 9.172511851015999e+03, 1.127864128428608e+01
28, 4.121445370371919e-01, 9.111184778009931e-01, 2.538594335211941e-04, 1.163758926854494e-05, 0.000000000000000e+00, 0.000000000000000e+00, 5.939200735604340e+02, 1.013127061964169e+01, 9.561667805301104e-01, 4.383321946988968e-02, 7.978667831951456e+01, 9.699992539889995e+02, 1.038984749186784e+03, 0.000000000000000e+00, 3.781571155876493e-03, 3.955697774754598e-05, 1.119925883101597e-03, -5.065985882767841e-04, 9.750970961321415e+03, 1.262171655309589e+01
29, 3.758275821142382e-01, 9.266896074318334e-01, 3.188377934459768e-04, 1.422768350156418e-05, 0.000000000000000e+00, 0.000000000000000e+00, 7.383245553299445e+02, 1.292998858846582e+01, 9.572826231287697e-01, 4.271737687123033e-02, 1.022902081604453e+02, 9.923608367896110e+02, 1.043906430481002e+03, 0.000000000000000e+00, 6.638509362917783e-03, 4.017487611072897e-05, 1.159391413590887e-03, -4.702019621234648e-04, 1.036060527450013e+04, 1.404308878278596e+01
30, 3.389238170352317e-01, 9.408138212453454e-01, 3.967258742753166e-04, 1.718604314286705e-05, 0.000000000000000e+00, 0.000000000000000e+00, 9.082218027296906e+02, 1.634083823711955e+01, 9.584789844900657e-01, 4.152101550993432e-02, 1.299153026468707e+02, 1.015350824402618e+03, 1.048726884438656e+03, 0.000000000000000e+00, 1.014565639581767e-02, 4.080570082004072e-05, 1.195856397366215e-03, -4.308017225819043e-04, 1.099785268069798e+04, 1.553550159866864e+01
31, 3.014908626486030e-01, 9.534690659583043e-01, 4.891461770568908e-04, 2.052007707869024e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.106018647527456e+03, 2.045396929831106e+01, 9.597382072833265e-01, 4.026179271667357e-02, 1.634984063789112e+02, 1.039002952513048e+03, 1.053444286808372e+03, 0.000000000000000e+00, 1.440920317453624e-02, 4.145030985237245e-05, 1.229251785480774e-03, -3.886944993275139e-04, 1.165967126512272e+04, 1.709175909305701e+01
32, 2.635871660690676e-01, 9.646355819083587e-01, 5.977924685389202e-04, 2.423267210779250e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.334180254390713e+03, 2.536592350710538e+01, 9.610422947172231e-01, 3.895770528277693e-02, 2.039568199099270e+02, 1.063320557037175e+03, 1.058060219848994e+03, 0.000000000000000e+00, 1.954560569583309e-02, 4.210872611727571e-05, 1.259487091290669e-03, -3.441554917942237e-04, 1.234367531429929e+04, 1.870473552703174e+01
33, 2.252719094193950e-01, 9.742959339063978e-01, 7.244190188359243e-04, 2.832266314424393e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.595245495358821e+03, 3.117942500887997e+01, 9.623739938650161e-01, 3.762600613498392e-02, 2.522885499087144e+02, 1.088284671405368e+03, 1.062579374492634e+03, 0.000000000000000e+00, 2.568156601059180e-02, 4.278037405470500e-05, 1.286456181250537e-03, -2.974480650583652e-04, 1.304810787490468e+04, 2.036736955374574e+01
34, 1.866049174245491e-01, 9.824350384595295e-01, 8.708292373067861e-04, 3.278559117342773e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.891848223735721e+03, 3.800325418737672e+01, 9.637172939840201e-01, 3.628270601597994e-02, 3.095706832970933e+02, 1.113858467804060e+03, 1.067009922640864e+03, 0.000000000000000e+00, 3.295382581227127e-02, 4.346421313951408e-05, 1.310041759363345e-03, -2.488309402238197e-04, 1.377167878962127e+04, 2.207267585539216e+01
35, 1.476465640024813e-01, 9.890401873221639e-01, 1.038861071645043e-03, 3.761425432878457e-05, 0.000000000000000e+00, 0.000000000000000e+00, 2.226727188870614e+03, 4.595197193269589e+01, 9.650579503113487e-01, 3.494204968865126e-02, 3.769560383755341e+02, 1.139993504554161e+03, 1.071362642268650e+03, 0.000000000000000e+00, 4.150874128017633e-02, 4.415891433626647e-05, 1.330122257832968e-03, -1.985642075919907e-04, 1.451349393310848e+04, 2.381370382863784e+01
