"PointID","x","y","Density_0","Density_1","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
843, -5.298836029410504e-01, 9.177853223915526e-01, 3.115046183125182e-03, 2.060884376814022e-04, 5.334404963270831e+00, 3.345641473580254e+00, 2.840640839503053e+04, 3.433003152777434e+03, 9.379463764009209e-01, 6.205362359907915e-02, 5.068770191804007e+03, 4.841739967793044e+03, 5.180247614326072e+03, 1.288064288286686e+00, 6.371585442229353e-01, 1.291894089815579e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
844, -5.657285097002908e-01, 8.961349139362015e-01, 3.295315997844040e-03, 2.170128214545400e-04, 5.343205978165162e+00, 3.610563673139705e+00, 2.993545191716185e+04, 3.686795333388318e+03, 9.382139792088493e-01, 6.178602079115073e-02, 5.469423075853513e+03, 4.941298987347847e+03, 5.235979635186231e+03, 1.234903497400641e+00, 6.880234769820786e-01, 1.312330540895001e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
845, -6.006900985476498e-01, 8.730852971903549e-01, 3.477893747741488e-03, 2.280920212562441e-04, 5.323002961440008e+00, 3.867189590333265e+00, 3.147726435638947e+04, 3.951733095719494e+03, 9.384530768670678e-01, 6.154692313293222e-02, 5.881250313594304e+03, 5.036844061043189e+03, 5.293940095444850e+03, 1.182888373679517e+00, 7.403070510932803e-01, 1.331885468350105e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
846, -6.347137811123325e-01, 8.486724613944071e-01, 3.661886505992515e-03, 2.392987278368538e-04, 5.273253604802932e+00, 4.112683159940282e+00, 3.302531657478792e+04, 4.227043442008451e+03, 9.386599934394911e-01, 6.134000656050886e-02, 6.301796938147438e+03, 5.127965360200873e+03, 5.353875569588854e+03, 1.132077172346938e+00, 7.936975959553926e-01, 1.350486524660110e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
847, -6.677464334528681e-01, 8.229345242934760e-01, 3.847058141135816e-03, 2.506453299252142e-04, 5.194211269771905e+00, 4.344281499120380e+00, 3.457864617365896e+04, 4.512917491113671e+03, 9.388327311394463e-01, 6.116726886055372e-02, 6.729993395899116e+03, 5.214612593964259e+03, 5.415793771130120e+03, 1.082334998883693e+00, 8.480593262669389e-01, 1.368134229311735e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
848, -6.997364790038392e-01, 7.959116726210673e-01, 4.039601164827413e-03, 2.625570664004913e-04, 5.087788429476894e+00, 4.558586277282036e+00, 3.618917079792041e+04, 4.817753016269114e+03, 9.389708485162915e-01, 6.102915148370854e-02, 7.180787822389659e+03, 5.300174684580890e+03, 5.480146198793955e+03, 1.031659281076082e+00, 9.052899842866245e-01, 1.385528475890885e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
849, -7.306339691065642e-01, 7.676460993522622e-01, 4.319816925755672e-03, 2.802630804911267e-04, 4.948443174274413e+00, 4.757243726807046e+00, 3.851711110028636e+04, 5.240405819791883e+03, 9.390743030315698e-01, 6.092569696843014e-02, 7.856283066367961e+03, 5.423736145627744e+03, 5.547328348649899e+03, 9.584579532636560e-01, 9.910475603130383e-01, 1.410612204410397e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
850, -7.603906609980011e-01, 7.381819378243946e-01, 4.519387630846256e-03, 2.927805294906374e-04, 4.789964351359790e+00, 4.929240042782386e+00, 4.018061139344330e+04, 5.563120487105140e+03, 9.391582921179255e-01, 6.084170788207456e-02, 8.330856427034751e+03, 5.498320523147143e+03, 5.605685177547275e+03, 9.112087489868683e-01, 1.051297075643157e+00, 1.425699687563945e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
851, -7.889600931360932e-01, 7.075651928280832e-01, 4.730079693341657e-03, 3.061694738368466e-04, 4.612071521493055e+00, 5.066769767081365e+00, 4.193358647866450e+04, 5.906754988512908e+03, 9.392068454769535e-01, 6.079315452304641e-02, 8.836736449167627e+03, 5.572958002019219e+03, 5.663793266046559e+03, 8.621099322720058e-01, 1.115521131763525e+00, 1.440782300020343e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
852, -8.162976577439521e-01, 6.758436687762139e-01, 4.940534492665926e-03, 3.198237935972327e-04, 4.409265681775175e+00, 5.167735084533605e+00, 4.368270468848923e+04, 6.254797674405202e+03, 9.392011387451655e-01, 6.079886125483450e-02, 9.346769845260365e+03, 5.643453661189394e+03, 5.719845214991801e+03, 8.132211472259068e-01, 1.180272479950423e+00, 1.455023691597183e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
853, -8.423606704596074e-01, 6.430668950630219e-01, 5.147330764408584e-03, 3.335529974915147e-04, 4.183284776198668e+00, 5.229204092562513e+00, 4.540020694809676e+04, 6.601440258957336e+03, 9.391424792092509e-01, 6.085752079074915e-02, 9.852312590508254e+03, 5.709029878675920e+03, 5.773188031974132e+03, 7.649481407873013e-01, 1.244453717045248e+00, 1.468272723032291e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
854, -8.671084369825692e-01, 6.092860487298237e-01, 5.348108675878710e-03, 3.472169112348487e-04, 3.936739273403786e+00, 5.249019698758070e+00, 4.706704140146114e+04, 6.942243515117387e+03, 9.390347564991764e-01, 6.096524350082350e-02, 1.034721105405158e+04, 5.769462816142810e+03, 5.823404546304664e+03, 7.174360031437526e-01, 1.307283608137768e+00, 1.480488780543656e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
